image_file,title,pattern_designer,fabrics,technique,number,description
Ballerina.jpg,Ballerina,Jane Korsberg,,,,
BaseballTshirtQuilt.jpg,Baseballtshirtquilt,Jane Korsberg,,,,
BKportrait.jpg,Bkportrait,Jane Korsberg,,,,
BKquilt.jpg,Bkquilt,Jane Korsberg,,,,
Bookofthemonthquilt.jpg,Bookofthemonthquilt,Jane Korsberg,,,,
Broadwayquilt2.jpg,Broadwayquilt2,Jane Korsberg,,,,
BugKidsquilt.JPG,Bugkidsquilt,Jane Korsberg,,,,
Butterflyquilt.jpg,Butterflyquilt,Jane Korsberg,,,,
CampHMK2025.png,Camphmk2025,Jane Korsberg,,,,
CandySwirlQuilt.JPG,Candyswirlquilt,Jane Korsberg,,,,
Clamshell.jpg,Clamshell,Jane Korsberg,,,,
Daliaquilt.JPG,Daliaquilt,Jane Korsberg,,,,
Dogquilt.jpg,Dogquilt,Jane Korsberg,,,,
DoubleWeddingRing.jpg,Doubleweddingring,Jane Korsberg,,,,
DoubleWeddingRing2.jpg,Doubleweddingring2,Jane Korsberg,,,,
Elephantquilt.JPG,Elephantquilt,Jane Korsberg,,,,
Encantoquilt.jpg,Encantoquilt,Jane Korsberg,,,,
Giraffequilt.jpg,Giraffequilt,Jane Korsberg,,,,
HarryPotterquilt2.JPG,Harrypotterquilt2,Jane Korsberg,,,,
HarryPotterquilt.jpg,Harrypotterquilt,Jane Korsberg,,,,
Heartquilt.JPG,Heartquilt,Jane Korsberg,,,,
HummingbirdLegitKits.jpg,Hummingbirdlegitkits,Jane Korsberg,,,,
Irisblockquilt.JPG,Irisblockquilt,Jane Korsberg,,,,
Irishchain.jpg,Irishchain,Jane Korsberg,,,,
JNeimeyerQuilt.jpg,Jneimeyerquilt,Jane Korsberg,,,,
JudyNeimeyerquilt2.jpg,Judyneimeyerquilt2,Jane Korsberg,,,,
JudyNeimyer1stquilt.jpg,Judyneimyer1Stquilt,Jane Korsberg,,,,
KamalaHarris.jpg,Kamalaharris,Jane Korsberg,,,,
MHPXE4909.JPG,Mhpxe4909,Jane Korsberg,,,,
OneBlockwonder2025.jpg,Oneblockwonder2025,Jane Korsberg,,,,
OpticalIllusianQuilt.jpg,Opticalillusianquilt,Jane Korsberg,,,,
OrchidThreadPainting.JPG,Orchidthreadpainting,Jane Korsberg,,,,
Owl.jpg,Owl,Jane Korsberg,,,,
PeanutsRaffle.png,Peanutsraffle,Jane Korsberg,,,,
Playbillquilt.JPG,Playbillquilt,Jane Korsberg,,,,
Playbillquilt2.JPG,Playbillquilt2,Jane Korsberg,,,,
PortraitquiltMom.JPG,Portraitquiltmom,Jane Korsberg,,,,
Ratatouillequilt.jpg,Ratatouillequilt,Jane Korsberg,,,,
RileyCummingsgift2010.jpg,Rileycummingsgift2010,Jane Korsberg,,,,
SamMinsleyMSUquilt2025.jpg,Samminsleymsuquilt2025,Jane Korsberg,,,,
SesameStreetquilt.jpg,Sesamestreetquilt,Jane Korsberg,,,,
StarTreckquilt.JPG,Startreckquilt,Jane Korsberg,,,,
StarTrekquilt.jpg,Startrekquilt,Jane Korsberg,,,,
Sunflowerqult.jpg,Sunflowerqult,Jane Korsberg,,,,
Tablerunner.JPG,Tablerunner,Jane Korsberg,,,,
TheVeryHungryCaterpillar.jpg,Theveryhungrycaterpillar,Jane Korsberg,,,,
TropicalBirds.JPG,Tropicalbirds,Jane Korsberg,,,,
Tshirtquilt for ADA.JPG,Tshirtquilt For Ada,Jane Korsberg,,,,
Zebraqult.JPG,Zebraqult,Jane Korsberg,,,,
